Aaron Pico
Adam Fugitt
Alex Perez
Alexander Hernandez
Aljamain Sterling
Amanda Ribas
Amir Albazi
Andre Fili
Andre Lima
Andreas Gustafsson
Andrey Pulyaev
Angela Hill
Ante Delija
Anthony Hernandez
Asu Almabayev
Ateba Gautier
Azamat Bekoev
Billy Elekana
Bogdan Guskov
Bolaji Oki
Brendan Allen
Brian Ortega
Brunno Ferreira
Bryan Battle
Bryce Mitchell
Caio Borralho
Carli Judice
Carlos Leal
Charles Johnson
Chase Hooper
Chris Duncan
Christian Leroy Duncan
Christian Rodriguez
Da'Mon Blackshear
Dan Ige
Daniel Rodriguez
Daniel Zellhuber
Davey Grant
Diego Ferreira
Diego Lopes
Diyar Nurgozhay
Drakkar Klose
Dricus Du Plessis
Dustin Poirier
Edson Barboza
Elijah Smith
Elves Brener
Eryk Anders
Esteban Ribovics
Felipe Bunes
Francisco Prado
Gabriella Fernandes
Gerald Meerschaert
Iasmin Lucindo
Ibo Aslan
Islam Dulatov
JJ Aldrich
Jackson McVey
Jared Cannonier
Jean Matsumoto
Jean Silva
Jessica Andrade
Jimmy Crute
Johnny Walker
Joselyne Edwards
Julija Stoliarenko
Julius Walker
Kai Asakura
Karine Silva
Karol Rosa
Kennedy Freeman
Ketlen Souza
Kevin Borjas
Kevin Holland
Khamzat Chimaev
Kiefer Crosbie
King Green
Kyler Phillips
Lone'er Kavanagh
Loopy Godínez
Lukasz Brzeski
Marc-Andre Barriault
Marcin Prachnio
Marcin Tybura
Marco Tulio
Marcus Buchecha
Marcus McGhee
Martin Buday
Marvin Vettori
Mason Jones
Mateusz Rębecki
Max Holloway
Michael Johnson
Michael Page
Michal Oleksiejczuk
Michel Pereira
Miles Johns
Modestas Bukauskas
Mohammad Yahya
Movsar Evloev
Muslim Salikhov
Nassourdine Imavov
Nathan Fletcher
Nick Klein
Nicolle Caliari
Nikita Krylov
Nikolay Veretennikov
Nora Cornolle
Nursulton Ruziboev
Opponent TBA
Patricio Pitbull
Paul Craig
Paulo Costa
Petr Yan
Piera Rodriguez
Priscila Cachoeira
Rafael Cerqueira
Ramazan Temirov
Reinier de Ridder
Rinat Fakhretdinov
Rinya Nakamura
Robert Valentin
Robert Whittaker
Rodolfo Vieira
Roman Dolidze
Roman Kopylov
Ryan Spann
Said Nurmagomedov
Sam Hughes
Sergei Pavlovich
Shara Magomedov
Shauna Bannon
Song Kenan
Steve Erceg
Steven Nguyen
Sumudaerji
TBA
Tabatha Ricci
Tatsuro Taira
Tim Elliott
Torrez Finney
Toshiomi Kazama
Tresean Gore
Uran Satybaldiev
Vinicius Oliveira
Waldo Cortes-Acosta
Yuneisy Duben
Zhang Mingyang
